from,to,weight,type
525,DJ Dahi,https://soundcloud.com/dj-dahi-1,,NA,NA,NA,,NA,Producer,9478,,NA,no,,NA,0.126769491,,,
526,Nef the Pharaoh,https://soundcloud.com/nefidelaphante,,NA,NA,NA,,NA,Artist,34844,,NA,no,,540864.0829,0.84218447,,,
527,Tame Impala,https://soundcloud.com/tame-impala,,NA,NA,NA,,NA,Artist,214075,,NA,no,,233125.9966,0.27260847,,,
528,Amine,https://soundcloud.com/heyamine,,NA,NA,NA,,NA,Artist,125591,,NA,no,,1018705.613,0.831761069,,,
529,Maxo Kream,https://soundcloud.com/maxo-kream,,NA,NA,NA,,NA,Artist,115013,,NA,no,,766191.9274,0.828453203,,,
530,Atu,https://soundcloud.com/alphatmu,,NA,NA,NA,,NA,Producer,61883,,NA,no,,NA,0.155372489,,,Musician / Half of Sonder
531,Popstar Benny,https://soundcloud.com/bennyjetts,,NA,NA,NA,,NA,Producer,1354,,NA,no,,NA,0.445103858,,,
532,Black Party,https://soundcloud.com/blackxparty,,NA,NA,NA,,NA,Artist,11357,,NA,no,,1592839.659,1.347492415,,,Musician
533,Vince97,https://soundcloud.com/vincenineseven,,NA,NA,NA,,NA,Producer,1068,,NA,no,,NA,0.564971751,,,
534,6dogs,https://soundcloud.com/6dogsgnarly,,NA,NA,NA,,NA,Artist,56410,,NA,no,,5945158.59,3.069614471,,,
535,Lion Babe,https://soundcloud.com/lionbabe,,NA,NA,NA,,NA,Artist,43085,,NA,no,,188650.0617,0.165062538,,,
536,KR,https://soundcloud.com/whokr,,NA,NA,NA,,NA,Artist,42908,,NA,no,,87777.42047,0.088640075,,,
537,JK the Reaper,https://soundcloud.com/jkthereaper,,NA,NA,NA,,NA,Artist,42348,,NA,no,,394354.6249,0.355467084,,,
538,Abhi//Dijon,https://soundcloud.com/abhidijon,,NA,NA,NA,,NA,Artist,39638,,NA,no,,371095.6126,0.181974422,,,
539,Vallee,https://soundcloud.com/valee,,NA,NA,NA,,NA,Artist,4190,,NA,no,,1385711.585,1.330108827,,,
540,Tay-K,https://soundcloud.com/tay-k47,,NA,NA,NA,,NA,Artist,83665,,NA,no,,4487006.786,6.98165079,,,
541,Vasser,https://soundcloud.com/vassermusic,,NA,NA,NA,,NA,Artist,2412,,NA,no,,NA,1.387137453,,,
542,Good Luck Have Fun,https://soundcloud.com/goodluckhavefunbitch,,NA,NA,NA,,NA,Artist,7769,,NA,no,,107805.5379,0.154698982,,,
543,Allen Ritter,https://soundcloud.com/allen-ritter,,NA,NA,NA,,NA,Producer,1012,,NA,no,,NA,0.396825397,,,
544,JSN | WLF,https://soundcloud.com/jsnwlf,,NA,NA,NA,,NA,Artist,580,,NA,no,,NA,0,,,
545,Outtatown,https://soundcloud.com/outtatwn,,NA,NA,NA,,NA,Producer,1803,,NA,no,,NA,0.389755011,,,
546,Fade Majah,https://soundcloud.com/fade-majah,,NA,NA,NA,,NA,Producer,372,,NA,no,,NA,0,,,
547,Slight,https://soundcloud.com/slightbeats,,NA,NA,NA,,NA,Producer,29602,,NA,no,,NA,0.879225736,,,
548,Danny Boy Styles,https://soundcloud.com/dannyboystyles,,NA,NA,NA,,NA,Producer,336,,NA,no,,NA,0.598802395,,,
549,CashMoneyAp,https://soundcloud.com/cashmoneyap,,NA,NA,NA,,NA,Producer,28796,,NA,no,,NA,1.691563372,,,
550,Slade da Monsta,https://soundcloud.com/sladedamonsta,,NA,NA,NA,,NA,Producer,2456,,NA,no,,NA,0.449897751,,,
551,Treez Lowkey,https://soundcloud.com/treezlowkey,,NA,NA,NA,,NA,Producer,16201,,NA,no,,NA,0.896805132,,,
552,Nessly,https://soundcloud.com/nessly,,NA,NA,NA,,NA,Artist,51068,,NA,no,,1276904.492,0.565172013,,,
